quantity;priceMin;priceMax;priceMod;state
354029;696;1013;919;KNT
398915;532;911;720;KNT
439552;482;1150;803;KNT
415124;949;1414;1183;KNT
471034;426;1035;870;KNT
511174;1349;4198;3319;KNT
440875;905;2485;2130;KNT
562187;1322;4578;2928;KNT
662382;343;441;392;KNT
3780;2030;2180;2130;WB
3880;1689;1789;1739;WB
3870;2091;2241;2191;WB
4945;1365;1467;1416;WB
6960;1285;1431;1376;WB
6640;1277;1427;1377;WB
4740;1504;1652;1604;WB
6020;1922;2068;2018;WB
5080;2160;2300;2253;WB
4730;3688;3849;3799;WB
5330;4567;4951;4778;WB
4270;3785;4183;3981;WB
1070;2133;2283;2233;WB
5490;2791;3125;2958;WB
4550;2108;2258;2208;WB
4740;1838;2065;1965;WB
257406;1042;1136;1107;WB
245780;525;593;554;WB
293432;529;584;557;WB
153370;985;1170;1076;WB
406000;494;552;523;WB
184420;1589;1770;1708;WB
236340;1553;1917;1731;WB
80130;2821;3923;3382;WB
211526;653;742;699;WB
302820;1713;1897;1849;WB
386380;1428;1571;1507;WB
314980;1623;1796;1709;WB
227340;1564;1714;1639;WB
226280;963;1033;998;WB
205360;478;527;503;WB
281630;415;453;435;WB
167950;1172;1345;1259;WB
489200;448;492;470;WB
337308;1367;1502;1435;WB
406880;1334;1588;1461;WB
170040;1026;1458;1241;WB
288560;703;760;731;WB
285050;1904;2116;2009;WB
365930;1129;1252;1191;WB
185700;1790;2062;1949;WB
168020;1246;1368;1309;WB
192760;578;644;611;WB
198210;354;416;387;WB
241860;349;382;366;WB
131610;743;916;832;WB
200510;496;557;527;WB
332810;951;1096;1023;WB
360140;584;710;647;WB
120240;565;732;653;WB
177320;577;645;612;WB
194530;1090;1419;1259;WB
150020;1052;1256;1155;WB
76830;1254;1529;1391;WB
184940;459;508;484;WB
132450;343;470;402;WB
191460;432;474;453;WB
143180;610;734;672;WB
258080;473;540;506;WB
268120;787;850;818;WB
187210;717;784;750;WB
85100;494;640;567;WB
102790;634;694;665;WB
99200;1041;1154;1097;WB
35610;1043;1201;1122;WB
83240;1560;1848;1704;WB
130560;448;513;480;WB
142260;415;501;457;WB
399080;358;419;388;WB
190450;546;670;611;WB
481352;455;551;504;WB
439240;692;787;740;WB
288960;677;779;728;WB
101800;673;818;751;WB
282220;654;783;718;WB
252480;1080;1239;1179;WB
186800;1269;1445;1351;WB
55000;1687;1903;1805;WB
122660;480;529;505;WB
160878;441;502;473;WB
229410;502;567;534;WB
115150;767;919;840;WB
329260;563;666;617;WB
244270;820;970;895;WB
287680;781;898;841;WB
155330;797;981;888;WB
410860;750;905;828;WB
193240;1535;1779;1660;WB
108060;1689;1978;1834;WB
90760;2087;2427;2282;WB
121800;546;610;579;WB
107826;518;607;562;WB
216070;544;627;587;WB
164050;979;1190;1085;WB
329140;775;902;843;WB
485990;948;1081;1009;WB
424600;827;1025;928;WB
175040;1030;1296;1163;WB
427840;768;949;860;WB
277760;2461;2713;2585;WB
141790;2357;2652;2504;WB
